구이름,고도화_종합점수,가성비점수,평형적합도점수,의료점수,교통점수,환경점수,교통환경점수
부산진구,78.5,72.4,80.0,100.0,91.7,13.6,52.65
사하구,65.8,85.1,78.0,32.5,100.0,39.5,69.75
북구,60.4,82.5,75.0,24.6,75.0,35.4,55.20
금정구,59.0,61.2,70.0,30.0,75.0,45.6,60.30
해운대구,57.7,31.5,85.0,60.3,66.7,57.8,62.25
기장군,56.1,81.4,65.0,5.0,25.0,82.3,53.65
서구,53.1,87.1,60.0,24.3,41.7,23.1,32.40
동래구,52.1,32.6,75.0,45.1,83.3,18.4,50.85
사상구,51.7,89.7,70.0,12.0,58.3,17.7,38.00
남구,47.3,44.4,65.0,24.0,50.0,25.9,37.95
강서구,46.4,55.6,80.0,3.0,25.0,100.0,62.50
연제구,44.9,39.9,70.0,25.8,58.3,7.5,32.90
동구,44.6,91.6,55.0,4.2,41.7,5.4,23.55
중구,40.4,95.5,50.0,2.2,25.0,0.0,12.50
영도구,38.8,100.0,45.0,0.0,0.0,11.6,5.80
수영구,33.0,0.0,60.0,20.9,58.3,9.5,33.90
